asset,date,action,price,units
LINK-USD,2025-01-17,BUY_NEW,25.112716674804688,34.12269470694772
LINK-USD,2025-01-28,SELL_SL,22.615997314453125,34.12269470694772
NCLH,2025-01-31,BUY_NEW,28.350000381469727,56.201281160475226
ON,2025-02-03,BUY_NEW,50.2599983215332,70.20593487343325
NCLH,2025-02-07,BUY_ADD,27.329999923706055,58.299434897496845
VST,2025-02-07,BUY_NEW,166.61207580566406,1.599346484049961
ON,2025-02-10,SELL_SL,47.040000915527344,70.20593487343325
NCLH,2025-02-11,SELL_SL,26.190000534057617,114.50071605797207
INTC,2025-02-12,BUY_NEW,22.479999542236328,354.45742373020863
INTC,2025-02-13,BUY_ADD,24.1299991607666,330.41183420970236
INTC,2025-02-18,SELL_TP,27.389999389648438,684.869257939911
VST,2025-02-21,SELL_SL,150.18048095703125,1.599346484049961
NCLH,2025-02-27,BUY_NEW,23.719999313354492,67.33030530480912
VST,2025-02-27,BUY_NEW,129.7857208251953,2.05799822286088
ALB,2025-02-28,BUY_NEW,76.5990982055664,18.51312139404255
