Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,Strategy,Asset,Weight
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,84.61538461538461,61838.52921252795,69998.95221840938,58.154089736143916,5.2055865631453715,-9.778786092580521,38.80482638207348,56.89776089374754,25.151109439929886,0.6820097271409097,1.419494367923516,3.3286230208957637,-2.4116319954888716,-0.7789533881320577,-11.657921650626191,-3.694063299005357,14 days 00:00:00,8 days 00:00:00,2,50.0,9.849997610854267,-3.9613293672742023,2.7124517259448533,30 days 00:00:00,23 days 00:00:00,2.4865384060785805,2.944334121790032,0.39026711554693455,0.28071376441454743,BollingerBandsBreakout,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,10.256410256410255,52361.42711475382,58778.7504757762,54.30189885566543,-10.917760770819857,-9.778786092580521,-52.62235991249141,7.477605714759345,-40.01758849157713,-7.037327444080806,-3.2591828826974965,-4.819885782177642,-10.740209683993468,0.01815676149835233,-10.91776077081985,-10.91776077081985,53 days 00:00:00,53 days 00:00:00,2,0.0,-5.1021424182750685,-6.5090807437795934,-5.808238466618809,1 days 00:00:00,1 days 00:00:00,0.0,-5.805611581027331,-6.333084065653534,,LarryWilliamsPriceAction,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,58778.7504757762,58778.7504757762,,0.0,9.442870496613061,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,MACDBollingerBandsMeanReversion,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,17.94871794871795,57670.03800824775,58778.7504757762,110.34032130346299,-1.8862470851355901,5.363637750799006,-11.577588764038937,7.931317543673775,-8.074203843669958,-1.4597308329022236,-1.6654266296211937,-3.743345087676831,-1.576347806337093,-0.05777781669769408,-3.092845701603253,-3.092845701603253,23 days 00:00:00,23 days 00:00:00,4,25.0,1.7716565736133338,-2.5616741816022026,-0.44735525421956135,4 days 00:00:00,2 days 00:00:00,0.504201970534512,-0.43553173600049677,-0.5088870010366542,-0.25952192213247327,MeanReversion,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,20.51282051282051,52913.026784219255,58861.9149758524,54.674123079232245,-9.979326957578516,-9.778786092580521,-49.30317883425225,12.678056099281934,-37.17323341132589,-3.888859494559636,-2.3593707734723637,-4.878356134954179,-12.528891940830963,-0.2607240775198963,-10.106514873112138,-10.106514873112138,35 days 00:00:00,35 days 00:00:00,2,0.0,-5.198680049746263,-5.410193765135429,-5.304495962564825,4 days 00:00:00,4 days 00:00:00,0.0,-5.304436907440846,-20.688956207285617,,MichaelHarrisPriceAction,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,15.384615384615385,62889.80845133253,62889.80845133253,86.87071268372536,6.994122777840561,-0.390283668533704,54.778369686381126,56.13498816615563,34.83472763107323,0.9758329248104763,4.227178355811811,11.169794698606639,7.176852089122898,0.4681961506840669,-4.904151881432018,-4.904151881432018,8 days 00:00:00,8 days 00:00:00,3,33.33333333333333,10.000000000000009,-1.9480523501747116,2.430955458801609,3 days 00:00:00,2 days 00:00:00,4.337418504776839,2.5648270594604545,0.6760287488253935,0.25405333829055315,Momentum,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,46.15384615384615,62674.361176630446,62674.361176630446,55.96647070986033,6.627583385699393,-9.778786092580521,51.384104260585396,50.73561559426742,32.80450885847343,1.0127817246075013,2.5881521216694203,7.164053367970339,11.919770408014971,0.5411905907555264,-7.172490435417167,-4.357449742091369,19 days 00:00:00,8 days 00:00:00,2,50.0,11.526256950291348,-4.014154055823771,3.4646902008664826,16 days 00:00:00,12 days 00:00:00,2.8714037353820414,3.756051447233788,0.46722061866248127,0.31843923996133566,RSIDivergence,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,56016.63230716348,58778.7504757762,,-4.699178097960821,-9.778786092580521,-26.728990514783323,8.910211221070043,-19.167656071960714,-2.9998155881621615,-2.2087785686924835,-5.688013937241962,-6.261924354198043,-0.15980984157358016,-4.6991780979608215,-4.6991780979608215,0.04699178097960821,0.04699178097960821,0,,,,,,,,,,,Scalping,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,2.564102564102564,58549.66827126818,58778.7504757762,28.066471552085876,-0.38973643136975045,-9.778786092580521,-2.4916500261417895,0.9787587646149802,-1.7115945966237889,-2.5457243564219256,-2.482604655993881,-6.393166831709234,-0.5165236543286373,-0.012965538028803432,-0.3897364313697471,-0.3897364313697471,0.003897364313697471,0.003897364313697471,1,0.0,-0.3574664714439346,-0.3574664714439346,-0.3574664714439346,0 days 00:00:00,0 days 00:00:00,0.0,-0.3574664714439346,,,VolumeSpikeReversal,AES,0.0587787504757762
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,12.82051282051282,53749.070844273934,56552.023370544324,28.48435428285599,-4.677033568269817,-15.447493341670071,-26.618909225830624,10.655945523359552,-19.084584335695066,-2.4980335313724793,-2.02424466363976,-5.37059819076064,-5.287591042762739,-0.039524695754095285,-4.95641421687899,-4.95641421687899,4 days 00:00:00,4 days 00:00:00,1,0.0,-3.422980676085796,-3.422980676085796,-3.422980676085796,4 days 00:00:00,4 days 00:00:00,0.0,-3.422980676085796,,,BollingerBandsBreakout,AKAM,0.0563862758958186
