Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,Strategy,Asset,Weight,Commissions [$]
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,0.0,195536.08927821438,195536.08927821438,0.0,-22.672248769413798,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,BollingerBandsBreakout,CZR,0.1955360892782144,
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,6.4,172073.57630559013,201916.42080174724,-11.999070380936741,-22.672248769413798,-12.089012593677362,9.094147909604256,-8.469021945509702,-1.3293177891806942,-1.347724594849821,-0.8179415183619332,-10.680535453555848,0.05815633644421174,-14.779800660917253,-6.255769155034829,325 days 00:00:00,111 days 00:00:00,3,0.0,-3.6474507696208414,-5.174582854402887,-4.1790079055557765,8 days 00:00:00,6 days 00:00:00,0.0,-4.176396233372889,-10.186060111853198,,LarryWilliamsPriceAction,CZR,0.1955360892782144,273.1632655929566
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,8.4,262908.53623473144,262908.53623473144,34.45524926125407,-12.532907790690631,34.774082589857905,16.44184079605509,22.748268265268102,2.114975021422254,15.581951057012333,21.186967125021653,35.411423793745996,0.07629311157959456,-1.641295914826335,-0.9988763558835045,5 days 00:00:00,4 days 00:00:00,3,100.0,13.613014649351607,8.913245844582708,10.575795871615234,14 days 00:00:00,9 days 00:00:00,,10.596278958152611,7.098740700480747,,MACDBollingerBandsMeanReversion,CZR,0.1955360892782144,337.5400552017212
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,15.6,174481.77601144556,195620.4393448686,-10.767482025689965,-22.672248769413798,-10.848771251951185,8.704750597088099,-7.5840792355142295,-1.2463046621439449,-1.3489802264026822,-1.0039619654205505,-9.516674283035808,0.05516910807460665,-10.805958418361728,-10.805958418361728,337 days 00:00:00,337 days 00:00:00,21,33.33333333333333,4.551829250201633,-5.238339620980259,-0.971037284250087,9 days 00:00:00,4 days 00:00:00,0.43485638589233977,-0.9339465643412079,-1.0887665122444288,-0.4259468182684358,MeanReversion,CZR,0.1955360892782144,1000.4449213175295
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,6.0,235511.470224006,235511.470224006,20.44399123116015,-22.672248769413798,20.623359439125455,10.541321891959326,13.74391513701616,1.9564300996117452,6.461766229460438,5.969497261948045,21.364231329703795,0.040588832096139636,-3.454789998914476,-2.236481348715613,7 days 00:00:00,7 days 00:00:00,2,100.0,10.674086730698317,9.191583845713769,9.930336217091785,10 days 00:00:00,9 days 00:00:00,,9.932835288206043,8.562702980223197,,MichaelHarrisPriceAction,CZR,0.1955360892782144,211.70086268005372
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,56.8,131686.40583851637,196435.66091097347,-32.65365676248687,-22.672248769413798,-32.866308024981564,18.89324214425004,-23.942775146717143,-1.739580098219621,-1.525604659657545,-0.997094859449151,-24.014287885397508,0.3810547848585879,-32.9620674638105,-16.842732456202782,354 days 00:00:00,179 days 00:00:00,64,35.9375,10.683607729309097,-6.599102561682024,-0.6852283298400041,26 days 00:00:00,7 days 00:00:00,0.748155165457007,-0.5736036781322905,-1.5621138816712914,-0.3740636818632852,Momentum,CZR,0.1955360892782144,2543.3960295341967
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,24.0,233247.7377390204,233247.7377390204,19.2862855138464,-22.672248769413798,19.45469927686123,26.085919495165484,12.985887888812965,0.7457931195588785,1.6920077432601457,1.3179302884989748,24.604750692311775,0.23458039970169603,-14.76155411756922,-6.6354375753417045,154 days 00:00:00,54 days 00:00:00,14,42.857142857142854,12.49759827786001,-7.411436239434044,0.8744633974532956,25 days 00:00:00,11 days 00:00:00,1.3994293405133367,1.1193859518837541,0.8873854139432745,0.21695204084257516,RSIDivergence,CZR,0.1955360892782144,816.6286771410464
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,4.8,176563.69231472822,195536.08927821438,-9.70275974809524,-22.672248769413798,-9.776457922407856,7.414161764481698,-6.822061100502164,-1.3186194519308951,-1.4632930671231776,-1.0075955889072785,-8.886836420284789,0.03598775472643803,-9.702759748095236,-9.702759748095236,121 days 00:00:00,121 days 00:00:00,3,0.0,-3.9952646002131553,-5.916170704123902,-4.811636715114465,14 days 00:00:00,9 days 00:00:00,0.0,-4.8081678909865335,-1.9442776851542367,,Scalping,CZR,0.1955360892782144,185.697334465456
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,15.2,161153.25417683326,200002.1037700672,-17.583881946447356,-22.672248769413798,-17.7112904345761,12.424405744395612,-12.530917996636115,-1.4255241497216307,-1.4548390533091404,-0.911814734409749,-14.880563875223585,0.11923466872287973,-19.42422047614888,-13.861725523526037,245 days 00:00:00,144 days 00:00:00,6,16.666666666666664,9.262576380523523,-7.590910147971486,-3.1644304757734942,20 days 00:00:00,8 days 00:00:00,0.3389924857639377,-3.010210572914734,-1.2337506623670271,-0.3415684114392924,VolumeSpikeReversal,CZR,0.1955360892782144,539.5032295854569
2024-03-01 00:00:00,2025-02-28 00:00:00,364 days 00:00:00,0.0,159486.8102637947,159486.8102637947,0.0,-45.28176516240443,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,BollingerBandsBreakout,INTC,0.1594868102637947,
