Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion,Strategy,Asset,Weight,Commissions [$]
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,58778.7504757762,58778.7504757762,0.0,-9.778786092580521,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,BollingerBandsBreakout,AES,0.0587787504757762,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,15.384615384615385,54299.235929189184,58778.7504757762,-7.620976135641238,-9.778786092580521,-40.082870502594815,10.403837270167465,-29.563453888064128,-3.8527006393622325,-2.5842696190133516,-3.58919064109557,-6.654436751950291,0.09884042605495706,-11.167662715837201,-11.167662715837201,53 days 00:00:00,53 days 00:00:00,1,0.0,-7.866873547498409,-7.866873547498409,-7.866873547498409,8 days 00:00:00,8 days 00:00:00,0.0,-7.866873547498409,,,LarryWilliamsPriceAction,AES,0.0587787504757762,27.184878906585737
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,58778.7504757762,58778.7504757762,0.0,9.442870496613061,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,MACDBollingerBandsMeanReversion,AES,0.0587787504757762,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,61512.751918903596,61512.751918903596,4.65134325074523,5.363637750799006,34.14726739337755,16.106908117518863,22.26237597212901,2.1200386284091906,inf,,3.8416884745280706,0.1509525463565371,-0.0,,,,0,,,,,,,,,,,MeanReversion,AES,0.0587787504757762,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,64.1025641025641,57026.5361820561,58861.9149758524,-2.981033587031113,-9.778786092580521,-17.761780894389013,27.311671266081444,-12.523272143248532,-0.6503366535627387,-0.7779416978618058,-1.4217782414855893,2.4352602700805597,0.5538820264430561,-12.492652071978583,-12.492652071978583,35 days 00:00:00,35 days 00:00:00,1,0.0,-3.063022254334813,-3.063022254334813,-3.063022254334813,35 days 00:00:00,35 days 00:00:00,0.0,-3.063022254334813,,,MichaelHarrisPriceAction,AES,0.0587787504757762,27.719099269632363
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,15.384615384615385,62105.61760825015,62105.61760825015,5.659982741288471,-0.390283668533704,42.724603180079114,47.96179433320455,27.558597486794344,0.890804937014217,3.1684088029751196,8.32460131553172,5.830807944991828,0.4376949831007473,-5.1323302535059785,-5.1323302535059785,8 days 00:00:00,8 days 00:00:00,4,75.0,3.078357420577915,-1.9480523501747116,0.6773750759071717,3 days 00:00:00,3 days 00:00:00,2.4233762703111403,0.693202872140633,0.2712861917457994,0.2725438160583653,Momentum,AES,0.0587787504757762,57.99843984270096
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,48.717948717948715,60110.33193662024,60110.33193662024,2.265413010766213,-9.778786092580521,15.57472385668477,36.81505267746844,10.410768710749064,0.42305314603601857,0.7626884255670705,1.8966200459846567,7.258080645512976,0.5105610847275677,-8.211831299399208,-5.381928569844922,19 days 00:00:00,9 days 00:00:00,3,100.0,9.51437089820808,2.2201643089915235,5.282138393459435,25 days 00:00:00,22 days 00:00:00,,5.3266054246346926,1.1422705290084505,,RSIDivergence,AES,0.0587787504757762,30.657305826187137
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,58778.7504757762,58778.7504757762,0.0,-9.778786092580521,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,Scalping,AES,0.0587787504757762,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,61512.751918903596,61512.751918903596,4.65134325074523,-9.778786092580521,34.14726739337755,16.106908117518863,22.26237597212901,2.1200386284091906,inf,,6.127475911696151,0.1509525463565371,-0.0,,,,0,,,,,,,,,,,VolumeSpikeReversal,AES,0.0587787504757762,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,56386.2758958186,56386.2758958186,0.0,-15.447493341670071,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,BollingerBandsBreakout,AKAM,0.0563862758958186,
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,20.51282051282051,57663.20609210385,58481.25215609921,2.2646116914061714,-15.447493341670071,15.568872368070386,11.01624912949631,10.406943915804657,1.4132643683941661,3.636925157059279,11.130023000127963,2.588025997344809,0.020936361569175617,-1.3988176275908315,-1.0301692253219676,18 days 00:00:00,9 days 00:00:00,1,100.0,2.327236666683463,2.327236666683463,2.327236666683463,9 days 00:00:00,9 days 00:00:00,,2.327236666683463,,,LarryWilliamsPriceAction,AKAM,0.0563862758958186,28.370325565338135
2025-01-02 00:00:00,2025-02-28 00:00:00,57 days 00:00:00,0.0,56386.2758958186,56386.2758958186,0.0,5.147917079929662,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,,,MACDBollingerBandsMeanReversion,AKAM,0.0563862758958186,
