,date,ADA-USD,AVAX-USD,BTC-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,UNI-USD,XRP-USD
0,2024-01-04,0.5705670118331909,38.73783493041992,44179.921875,2269.0380859375,14.5540189743042,66.49139404296875,105.0775375366211,0.0002209999947808683,0.5882260203361511
1,2024-01-05,0.5412420034408569,36.43484878540039,44162.69140625,2268.647216796875,14.065112113952637,66.02114868164062,99.97879028320312,0.0002209999947808683,0.5764859914779663
2,2024-01-06,0.5231029987335205,34.62417984008789,43989.1953125,2241.624755859375,13.42838191986084,65.67607879638672,93.85771942138672,0.00022000000171829015,0.5685120224952698
3,2024-01-07,0.4941740036010742,33.62965393066406,43943.09765625,2222.865966796875,13.140296936035156,64.2574691772461,89.2763442993164,0.00022000000171829015,0.5517410039901733
4,2024-01-08,0.5409359931945801,36.08260726928711,46970.50390625,2333.03271484375,14.156993865966797,67.80654907226562,97.79044342041016,0.00023499999952036887,0.5779229998588562
5,2024-01-09,0.5115270018577576,34.695011138916016,46139.73046875,2344.8271484375,13.705975532531738,66.94928741455078,99.40918731689453,0.00018899999849963933,0.5666329860687256
6,2024-01-10,0.5666469931602478,38.472389221191406,46627.77734375,2582.103515625,15.031819343566895,69.89013671875,102.03302001953125,0.00019099999917671084,0.5999889969825745
7,2024-01-11,0.5821790099143982,39.445777893066406,46368.5859375,2619.619140625,15.032686233520508,71.9844741821289,99.90943908691406,0.0001900000061141327,0.6020950078964233
8,2024-01-12,0.5473330020904541,35.87169647216797,42853.16796875,2524.460205078125,14.134305000305176,72.90021514892578,91.72090911865234,0.00017600000137463212,0.5702990293502808
9,2024-01-13,0.5493360161781311,36.45083999633789,42842.3828125,2576.597900390625,14.364034652709961,71.98751068115234,95.73004913330078,0.00017600000137463212,0.575078010559082
10,2024-01-14,0.5259810090065002,35.33799743652344,41796.26953125,2472.2412109375,14.79709243774414,69.81559753417969,94.13314056396484,0.00017100000695791095,0.5762330293655396
11,2024-01-15,0.5281609892845154,35.66428756713867,42511.96875,2511.36376953125,15.195074081420898,69.255615234375,94.49022674560547,0.0001740000006975606,0.5759199857711792
12,2024-01-16,0.5356760025024414,35.59072494506836,43154.9453125,2587.691162109375,15.261761665344238,69.47465515136719,97.62691497802734,0.00017699999443721026,0.5759469866752625
13,2024-01-17,0.5270289778709412,36.00657653808594,42742.65234375,2528.369384765625,15.730317115783691,69.38614654541016,102.0635986328125,0.00017499999376013875,0.5679730176925659
14,2024-01-18,0.5018740296363831,33.52815246582031,41262.05859375,2467.018798828125,14.649992942810059,67.99267578125,94.2509536743164,0.00016900000628083944,0.5519070029258728
15,2024-01-19,0.503150999546051,32.643001556396484,41618.40625,2489.49853515625,16.04130744934082,71.1841812133789,93.38616943359375,0.00017100000695791095,0.5442559719085693
16,2024-01-20,0.5150049924850464,32.80842590332031,41665.5859375,2469.589111328125,15.742375373840332,71.29741668701172,92.56983947753906,0.00017100000695791095,0.5531259775161743
17,2024-01-21,0.5031049847602844,32.473045349121094,41545.78515625,2453.9130859375,15.391012191772461,71.60008239746094,90.84843444824219,0.00016999999934341758,0.546110987663269
18,2024-01-22,0.4785020053386688,29.48309326171875,39507.3671875,2310.826416015625,14.544947624206543,67.28827667236328,83.62281036376953,0.00016199999663513154,0.5267159938812256
19,2024-01-23,0.4767490029335022,30.59178352355957,39845.55078125,2240.68603515625,14.274681091308594,65.44943237304688,84.27450561523438,0.0001630000042496249,0.5177369713783264
20,2024-01-24,0.47629600763320923,31.217866897583008,40077.07421875,2233.561767578125,14.23513412475586,66.14016723632812,88.73200988769531,0.00016399999731220305,0.5179880261421204
21,2024-01-25,0.46647900342941284,30.48063850402832,39933.80859375,2217.710205078125,13.757712364196777,65.49899291992188,86.88921356201172,0.00016399999731220305,0.5136060118675232
22,2024-01-26,0.48529401421546936,32.27981948852539,41816.87109375,2267.19970703125,14.195534706115723,67.03406524658203,92.44236755371094,0.00017100000695791095,0.5321890115737915
23,2024-01-27,0.48632100224494934,33.261962890625,42120.0546875,2267.885986328125,14.34029769897461,68.08456420898438,94.16321563720703,0.00017299999308306724,0.5302600264549255
24,2024-01-28,0.4897190034389496,34.79377365112305,42035.59375,2257.208740234375,14.517561912536621,68.39750671386719,95.93798065185547,0.0001720000000204891,0.5240939855575562
25,2024-01-29,0.5252749919891357,36.073768615722656,43288.24609375,2317.064208984375,14.988256454467773,68.45301055908203,101.56666564941406,0.00017699999443721026,0.5350900292396545
26,2024-01-30,0.5141649842262268,35.144779205322266,42952.609375,2344.49365234375,15.467368125915527,67.51202392578125,101.47297668457031,0.00017600000137463212,0.5106980204582214
27,2024-01-31,0.49825599789619446,33.16189956665039,42582.60546875,2282.54443359375,15.39860725402832,66.75304412841797,97.0287094116211,0.00017499999376013875,0.5031930208206177
28,2024-02-01,0.5070229768753052,33.82854080200195,43075.7734375,2303.82470703125,17.184246063232422,67.51658630371094,97.84669494628906,0.00017699999443721026,0.5058590173721313
29,2024-02-02,0.5139579772949219,36.707916259765625,43185.859375,2308.0380859375,17.791160583496094,68.0035171508789,100.44052124023438,0.00017699999443721026,0.5104119777679443
30,2024-02-03,0.5128610134124756,35.91640090942383,42992.25,2296.038330078125,17.661924362182617,68.83683776855469,97.8799819946289,0.00017600000137463212,0.5189390182495117
31,2024-02-04,0.49425598978996277,34.844993591308594,42583.58203125,2289.546142578125,18.17605972290039,66.93138885498047,95.47695922851562,0.00017499999376013875,0.5032879710197449
