asset,weight,strategy,best_return
BXP,0.0999879107815679,LarryWilliamsPriceAction,3.356941630495375
URI,0.0950011081783562,BollingerBandsBreakout,3.7401297860110763
CZR,0.0926336362354173,LarryWilliamsPriceAction,4.101954233367695
MHK,0.0586528580927243,LarryWilliamsPriceAction,3.8685308703304617
KKR,0.0570409623017871,BollingerBandsBreakout,5.176731388304965
INTC,0.0469464649110435,LarryWilliamsPriceAction,1.1418299451981786
KMX,0.0420201083999919,BollingerBandsBreakout,2.121663323123567
BX,0.0411839374584433,BollingerBandsBreakout,4.9759060929687
TECH,0.0410932683202031,MACDBollingerBandsMeanReversion,5.179575020499644
SWK,0.0314017448771936,BollingerBandsBreakout,1.6184632945864925
ADI,0.0312607039954866,LarryWilliamsPriceAction,1.5951633758889279
UAL,0.0312304809494066,MACDBollingerBandsMeanReversion,1.2784446148903574
CRL,0.0290947190264149,LarryWilliamsPriceAction,3.400021485177404
NCLH,0.0281981019927061,MACDBollingerBandsMeanReversion,1.189911699176696
BLDR,0.0271705184259837,BollingerBandsBreakout,9.733192273761961
F,0.0270294775442767,BollingerBandsBreakout,4.458613586076501
ON,0.0268380649191029,LarryWilliamsPriceAction,5.171843763473142
EL,0.0191311881686848,MACDBollingerBandsMeanReversion,1.7097327478243969
WAT,0.0150410025991819,LarryWilliamsPriceAction,0.6197545295619407
PLTR,0.0145977312566742,BollingerBandsBreakout,12.956614075792627
SYF,0.0133585863673913,LarryWilliamsPriceAction,4.807062659360631
ALB,0.0113336422800265,MACDBollingerBandsMeanReversion,3.850389330502309
MCHP,0.0100139026011968,LarryWilliamsPriceAction,9.253782787200016
MGM,0.0090064677318611,MACDBollingerBandsMeanReversion,3.101998336632817
CARR,0.0088553525014607,LarryWilliamsPriceAction,8.566076829476701
KEYS,0.0063468396768148,MACDBollingerBandsMeanReversion,2.425150676015008
VST,0.0038181781547822,BollingerBandsBreakout,7.44186028576158
AVAX-USD,0.0440148294412766,MACDBollingerBandsMeanReversion,-1.2605114414162117
SOL-USD,0.0278454997884386,BollingerBandsBreakout,11.364863171317266
LINK-USD,0.0098527130221031,MACDBollingerBandsMeanReversion,-0.8773248176736991
