date,portfolio_value,ADA-USD,ETH-USD,LINK-USD,LTC-USD,SOL-USD,UNI-USD,XRP-USD,ADI,AKAM,BLDR,CARR,CBRE,CSGP,DECK,DXCM,GM,GS,INTC,LII,MCHP,MCO,ODFL,PCG,PHM,STZ,TSLA
2025-01-01,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-02,999970.2300038062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30496.424881735587,0.0,0.0,54415.189494861595,0.0,34138.600402370634,0.0,0.0
2025-01-03,1002751.7411350235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30909.588691313384,0.0,0.0,56019.191458666704,0.0,34902.94576020506,0.0,0.0
2025-01-04,880920.0152248384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-05,880552.9436795205,0.0,0.0,0.0,0.0,36707.154531786386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,1003353.4757468663,0.0,0.0,0.0,0.0,37623.91440154188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30771.865368746738,0.0,0.0,56564.17560940953,0.0,34547.731219433954,0.0,0.0
2025-01-07,999420.4716478307,0.0,0.0,0.0,0.0,34786.87340295134,0.0,18458.476210576933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30837.951256476128,0.0,0.0,55935.582547508355,0.0,34198.860055266414,0.0,0.0
2025-01-08,1000670.7769706718,0.0,0.0,0.0,0.0,33983.35086062644,0.0,19294.786574842252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31558.340700482986,0.0,0.0,55607.35119803137,0.0,0.0,0.0,0.0
2025-01-09,910536.0120845311,0.0,0.0,0.0,0.0,31827.340178767867,0.0,18481.72426907447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,996929.6754450042,0.0,0.0,0.0,0.0,32266.65124377905,0.0,19034.41761579452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30775.90201780853,0.0,0.0,54625.75693093335,0.0,0.0,0.0,0.0
2025-01-11,913496.518892857,0.0,0.0,0.0,0.0,32338.267777063174,0.0,20931.303479105056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-12,913021.3650345546,0.0,0.0,0.0,0.0,32435.43370873424,0.0,20358.98368913159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,999018.8852226883,0.0,0.0,18560.78600628842,0.0,41952.11236001931,0.0,20493.996343416737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31202.18262754135,36505.586330488535,0.0,55944.872426525944,0.0,0.0,0.0,0.0
2025-01-14,1004197.1470653156,0.0,0.0,19470.538789102964,0.0,43022.106200795555,0.0,21681.574335971873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31666.298739693157,37138.93264719504,0.0,56858.34722414905,0.0,0.0,0.0,0.0
2025-01-15,1015323.1822776645,0.0,0.0,21200.11479872863,0.0,47246.966079978214,0.0,25628.780537307004,0.0,0.0,0.0,0.0,0.0,0.0,44376.30788045716,0.0,0.0,0.0,0.0,31820.16250038483,37217.285053425716,0.0,57861.621030615184,0.0,0.0,0.0,0.0
2025-01-16,1020116.8454665041,0.0,0.0,22054.632088319002,0.0,48466.852189696285,0.0,26363.772825905988,0.0,0.0,0.0,0.0,0.0,0.0,45354.31735539016,0.0,0.0,0.0,0.0,0.0,36688.40693872999,0.0,0.0,0.0,0.0,0.0,0.0
